(-0.5334, -0.4781, 0.1228)
(-0.4684, -0.5967, 0.0284)
(-0.9202, -0.7425, 0.2757)
(-0.5677, -0.7345, -0.0069)
(-0.5305, -0.2396, 0.2788)
(-0.2858, -0.7455, -0.0130)
(-0.3170, -0.7361, 0.0173)
(-0.5029, -0.4324, 0.1860)
(-0.6295, -0.4104, 0.2305)
(-0.5954, -0.4184, 0.1795)
(-0.7008, -0.4171, 0.2483)
(-0.3917, -0.7465, -0.0739)
(-0.5684, -0.5767, 0.0790)
(-0.5863, -0.7744, -0.0217)
(-0.5799, -0.7760, -0.0985)
(-0.3044, -0.7442, 0.1709)
(-0.4615, -0.6979, 0.0234)
(-0.3180, -0.1375, 0.0232)
(-0.5731, -0.4914, 0.1120)
(-0.4269, -0.7649, -0.0561)
(-0.5388, -0.2360, 0.2846)
(-0.5479, -0.2465, 0.2461)
(-0.6476, -0.3977, 0.2218)
(-0.4177, -0.7552, -0.0609)
(-0.6297, -0.5160, 0.1540)
(-0.5590, -0.2543, 0.3023)
(-0.4880, -0.4741, 0.1268)
(-0.4704, -0.2381, 0.3207)
(-0.6161, -0.2404, 0.2964)
(-0.6188, -0.2275, 0.2672)
(-0.6172, -0.2599, 0.2957)
(-0.3130, -0.1146, 0.0225)
(-0.5609, -0.2307, 0.2222)
