(-0.4508, -0.5334, 0.1638)
(-0.2703, -0.5937, 0.2124)
(-0.3035, -0.6208, 0.2730)
(-0.3130, -0.4665, 0.1990)
(-0.4626, -0.5322, 0.2713)
(-0.3736, -0.4979, 0.1399)
(-0.4828, -0.5112, 0.2915)
(-0.3811, -0.5700, 0.0868)
(-0.6179, -0.5921, 0.4033)
(-0.4416, -0.5603, 0.2004)
(-1.6391, 0.5902, -0.0037)
(-1.6516, 0.5017, -0.0253)
(-1.6552, 0.5233, -0.0534)
(-1.5913, 0.4059, 0.0410)
(-2.1477, -0.2297, 0.3485)
(-1.6688, 0.4947, 0.0154)
(-1.6555, 0.3352, 0.0013)
